epoch,total_mean,opinion_mean,emotion_mean
4,0.14930133955605168,0.08177152217893478,0.06752981743030131
5,0.1337206645650623,0.07190646999609857,0.06181419465132018
6,0.11580228859361442,0.06069080177662807,0.05511148680607165
7,0.102741686963045,0.05301490171691222,0.04972678522489871
8,0.09397046418172729,0.048389741892323306,0.04558072226479627
9,0.0862020728353553,0.04419991746197552,0.04200215537228832
10,0.08190333250939415,0.04230650620405627,0.039596826271899165
11,0.07851429852573076,0.04049401949873226,0.038020279011618675
12,0.07525737179931823,0.03873795054024635,0.03651942123158664
13,0.07138597953551815,0.0366804593837507,0.03470552011924656
14,0.06428158789199984,0.03289869708258515,0.031382890805346474
15,0.057375971730357925,0.02951812115279593,0.02785785053757446
16,0.05238017363657537,0.02652550037277931,0.025854673308248702
17,0.04699834421810478,0.023610223061246362,0.023388121154204158
18,0.04275939702297464,0.021634297420548274,0.021125099628559664
19,0.03955824261711029,0.019554149337883284,0.020004093279549485
20,0.0358535404231847,0.017802045082778807,0.018051495344722165
21,0.03241856967920789,0.01563986862074861,0.01677870105707634
22,0.03043230997118484,0.014672159494643334,0.015760150483995754
23,0.02796012101595816,0.013334069396523453,0.014626051605059536
24,0.026306419626928923,0.012539220114363819,0.01376719950529535
25,0.024076468667218645,0.011479181325605471,0.01259728733571551
26,0.022531271263302736,0.010560131121904792,0.01197114015013359
27,0.021954192043872577,0.01029682113673202,0.01165737091395605
28,0.019601662919396006,0.009064843399431356,0.010536819518476282
29,0.018886119935433536,0.008693593924360954,0.010192525993452455
30,0.018100725060989975,0.00864655639993091,0.009454168663013325
31,0.016688010675327998,0.007688394819551872,0.008999615854152872
32,0.016030166486603433,0.0073255321629573395,0.008704634320589124
33,0.014730876885097676,0.006800229098320552,0.007930647780373161
